Country,City,AccentCity,Region,Population,Latitude,Longitude
am,agdzhakala,Agdzhakala,03,,40.2,44.2275
am,agdzhakishlag,Agdzhakishlag,11,,40.1333333,44.4333333
am,aghin,Aghin,07,,40.59,43.6983333
an,ararat,Ararat,00,,12.1105556,-68.9194444
ao,1.0 de maio,1.0 de Maio,01,,-12.654444,13.478611
ao,28 de maio,28 de Maio,15,,-6.3,15.083333
ao,28 de maio,28 de Maio,19,,-7.95,14.2
ao,5 de outubro,5 de Outubro,17,,-9.523375,17.808386
ao,abel,Abel,12,,-9.416667,15.483333
ao,abel alexandre,Abel Alexandre,08,,-12.419572,15.437862
ao,abel carapuchoso,Abel Carapuchoso,06,,-11.116667,15.133333
ao,abreu,Abreu,05,,-9.183333,14.55
ao,acocoto,Acocoto,02,,-11.855574,17.031754
ao,agema,Agema,14,,-12.05,21.816667
ao,agostinho neto,Agostinho Neto,04,,-14.655194,17.644712
ao,aguada,Aguada,13,,-14.811445,13.247441
ao,alcacer,Alcacer,09,,-14.843145,15.045797
ao,alto chicapa,Alto Chicapa,18,,-10.931643,19.151316
ao,alvarenga,Alvarenga,20,,-9.05,13.1
ao,ambrisette,Ambrisette,16,,-7.231164,12.866602
ao,amecanda,Amecanda,07,,-17.133333,17.3
ao,baca,Baca,03,,-5.533333,12.366667
ar,12 de agosto,12 de Agosto,01,,-33.783333,-60.6
ar,17 de octubre,17 de Octubre,05,,-31.38945,-64.175664
ar,1 de mayo,1 de Mayo,08,,-32.266667,-68.416667
ar,20 de febrero,20 de Febrero,17,,-25.416667,-65.533333
ar,23 de agosto,23 de Agosto,10,,-23.778131,-64.663227
ar,25 de mayo,25 de Mayo,11,,-37.774099,-67.71638
ar,25 de mayo,25 de Mayo,13,,-34.584676,-68.544908
ar,25 de mayo,25 de Mayo,14,,-27.376787,-54.743122
ar,28 de noviembre,28 de Noviembre,20,,-51.65,-72.3
ar,4 de febrero,4 de Febrero,21,,-33.8,-61.583333
ar,7 de abril,7 de Abril,24,,-26.283844,-64.493185
ar,9 de julio,9 de Julio,06,,-28.840507,-58.826502
ar,9 de julio,9 de Julio,18,,-31.669141,-68.390232
ar,abra del medio,Abra del Medio,22,,-28.533333,-64.85
ar,achalco,Achalco,02,,-28.366273,-65.157566
ar,achico,Achico,15,,-40.32933,-70.341142
ar,agronomia,Agronomia,07,,-34.6,-58.483333
ar,agua blanca,Agua Blanca,12,,-28.961235,-66.995007
ar,aguada cecilio,Aguada Cecilio,16,,-40.85669,-65.800815
ar,aldea,Aldea,04,,-45.545246,-71.515051
ar,algarrobo grande,Algarrobo Grande,19,,-32.580685,-66.762888
ar,almirante brown,Almirante Brown,23,,-54.85,-67.516667
ar,alto alegre,Alto Alegre,09,,-25.562686,-59.845519
ar,avia terai,Avia Terai,03,,-26.685317,-60.729203
at,aalfang,Aalfang,03,,48.833333,15.066667
at,abbtenau,Abbtenau,05,,47.55,13.35
at,abern,Abern,04,,48.05,13.15
at,abfaltern,Abfaltern,07,,46.763889,12.52
at,abriach,Abriach,02,,46.55,14.5
at,abset,Abset,06,,46.894444,15.931944
at,ach,Ach,08,,47.517778,9.865
at,albern,Albern,09,,48.166667,16.483333
at,albrechtsfeld,Albrechtsfeld,01,,47.816667,17.016667
au,abbotsford,Abbotsford,02,,-33.85,151.133333
au,abbotsford,Abbotsford,07,,-37.8,145
au,abbotsham,Abbotsham,06,,-41.216667,146.183333
au,abbotts,Abbotts,08,,-26.316667,118.383333
au,abercorn,Abercorn,04,,-25.15,151.033333
au,adelaide,Adelaide,05,1074168,-34.928661,138.598633
au,adelaide river,Adelaide River,03,,-13.23943,131.10733
au,australian capital territory,Australian Capital Territory,01,,-35.5,149
au,cascade station,Cascade Station,00,,-29.033333,167.966667
aw,angochi,Angochi,00,,12.5166667,-69.95
az,26 baky komissary,26 Baky Komissary,36,,39.313757,49.207157
az,26 komissar adina kend,26 Komissar adina Kend,62,,40.554568,46.216059
az,28 aprel,28 Aprel,68,,40.624613,46.977597
az,abad,Abad,04,,40.46645,47.33398
az,abadkend,Abadkend,46,,39.75,49.016667
az,abas-abad,Abas-Abad,66,,38.868889,48.287778
az,abasaly,Abasaly,15,,39.277768,48.360821
az,abasbeyli,Abasbeyli,45,,39.95,48.366667
az,abaskand,Abaskand,47,,41.314444,46.95
az,abaskhanly,Abaskhanly,27,,40.38919,48.400442
az,abbasbayli,Abbasbayli,40,,41.081344,45.193526
az,abbaskullar,Abbaskullar,58,,40.682106,45.575871
az,abbasli,Abbasli,51,,40.758314,46.143562
az,abdal,Abdal,03,,39.866071,46.918459
az,abdalanly,Abdalanly,43,,39.412099,46.546217
az,abdalli,Abdalli,37,,41.073808,47.595626
az,abdallyar,Abdallyar,28,,39.640833,46.546944
az,abdullausagi,Abdullausagi,26,,40.055451,46.202845
az,abdulyan,Abdulyan,23,,40.089459,48.677945
az,abdurakhmanly,Abdurakhmanly,18,,39.562771,47.205384
az,abilyataq,Abilyataq,60,,41.540303,48.887974
az,abish-kyand,Abish-Kyand,13,,39.433333,48.45
az,abjit,Abjit,10,,41.722778,46.235278
az,abrakunis,Abrakunis,35,,39.136324,45.63744
az,abrix,Abrix,38,,41.036973,47.740479
az,abyshbeyli,Abyshbeyli,02,,40.181111,47.662778
az,acaxur,Acaxur,44,,41.456687,48.188889
az,acidara,Acidara,50,,40.524836,48.743281
az,adakar,Adakar,17,,41.333056,49.072778
az,adur,Adur,42,,41.122838,48.300222
az,adzhily,Adzhily,24,,40.083333,47.883333
az,adzhiyely,Adzhiyely,01,,40.286628,49.075909
az,afandilar,Afandilar,14,,39.434723,47.049363
az,afatlu,Afatlu,61,,39.819722,46.778889
az,agabagi,Agabagi,71,,40.110556,47.813056
az,agabayli,Agabayli,06,,40.430144,48.433059
az,agabayyali,Agabayyali,57,,40.207991,46.792503
az,agakishi-bayli,Agakishi-Bayli,32,,39.066667,48.683333
az,agalu,Agalu,11,,40.347926,47.306462
az,agaly,Agaly,69,,39.185936,46.752538
az,agamali,Agamali,19,,40.686389,45.763056
az,agamalioglu,Agamalioglu,21,,40.720444,46.530315
az,agan,Agan,25,,40.852564,48.416035
az,agasi-bek-obasi,Agasi-Bek-Obasi,53,,41.133333,49.116667
az,agasy-begly,Agasy-Begly,52,,40.769865,46.515638
az,agayazi,Agayazi,39,,41.240051,46.742792
az,agbulag,Agbulag,64,,39.877298,46.900168
az,agbulag,Agbulag,65,,39.554474,47.08467
az,agdamkelal,Agdamkelal,70,,41.64648,46.889722
az,agdara,Agdara,63,,40.691649,49.016424
az,agoshapeshta,Agoshapeshta,31,,38.666667,48.616667
az,agqiraqli,Agqiraqli,67,,40.662573,47.063861
az,agstafa,Agstafa,05,12542,41.118889,45.453889
az,ahmadli,Ahmadli,09,,40.378056,49.961944
az,ahmadli,Ahmadli,12,,39.715465,47.837222
az,ahmadli,Ahmadli,16,,40.471072,46.150737
az,alasa,Alasa,08,,38.453227,48.800403
az,alazapin,Alazapin,29,,38.619747,48.648534
az,alcali,Alcali,49,,39.519167,48.92
az,aliakhkulular,Aliakhkulular,55,,39.748053,46.631468
az,ali-bairamli,Ali-Bairamli,07,,39.937877,48.928554
az,alikand,Alikand,59,,40.495833,47.508889
az,alikend,Alikend,22,,40.550442,47.874537
az,arabkadim,Arabkadim,41,,40.426236,48.966287
az,bagbanlar,Bagbanlar,20,,40.65,46.316667
az,corat,Corat,54,8624,40.5725,49.706389
az,karukhler,Karukhler,48,,41.096389,47.213333
az,kushchi-gasanly,Kushchi-Gasanly,34,,40.723056,46.536667
az,lankaran,Lankaran,30,,38.755947,48.84715
az,mengechaur,Mengechaur,33,,40.763947,47.059533
az,shoushi,Shoushi,56,,39.758934,46.749187
ba,abadzici,Abadzici,02,,44.6433333,18.7677778
ba,abdakovici,Abdakovici,01,,45.0208333,15.8275
ba,anici,Anici,BD,,44.8480556,18.8372222
bb,airy hill,Airy Hill,06,,13.1833333,-59.55
bb,alexandra,Alexandra,07,,13.2833333,-59.6
bb,allen view,Allen View,11,,13.1833333,-59.5666667
bb,apes hill,Apes Hill,04,,13.2166667,-59.6
bb,ashbury,Ashbury,05,,13.1666667,-59.5333333
bb,ashton hall,Ashton Hall,09,,13.25,-59.6333333
bb,atlantic shores,Atlantic Shores,01,,13.0333333,-59.5166667
bb,bairds,Bairds,03,,13.1333333,-59.5333333
bb,bank hall,Bank Hall,08,,13.1,-59.6
bb,baxters,Baxters,02,,13.2166667,-59.5666667
bb,bayfield,Bayfield,10,,13.15,-59.45
bd,abad chandipur,Abad Chandipur,82,,22.2833333,89.1666667
bd,abadpur,Abadpur,83,,24.8333333,88.8833333
bd,abaipur,Abaipur,81,,23.6,89.3333333
bd,abdullahpur,Abdullahpur,80,,22.8166667,91.0833333
bd,abdullapur,Abdullapur,85,,22.9166667,91.0
bd,abdullapur,Abdullapur,86,,24.3833333,91.1666667
bd,abhaynil,Abhaynil,84,,22.5833333,90.2833333
be,aaigem,Aaigem,08,,50.883333,3.933333
be,aalbeke,Aalbeke,09,,50.783333,3.216667
be,aalst,Aalst,02,,50.766667,4.866667
be,aalst,Aalst,05,,50.783333,5.2
be,aard,Aard,01,,51.416667,4.716667
be,aarlen,Aarlen,06,,49.683333,5.816667
be,aat,Aat,03,,50.633333,3.783333
be,abee,AbÈe,04,,50.466667,5.35
be,abime,AbÓme,07,,50.266667,5.233333
be,anderlecht,Anderlecht,11,,50.833333,4.3
be,leuven,Leuven,12,92892,50.883333,4.7
be,waver,Waver,10,,50.716667,4.616667
bf,abanga,Abanga,38,,13.3333333,0.3166667
bf,aberekui,AbÈrÈkui,63,,12.5,-3.4166667
bf,abra,Abra,15,,13.7666667,-1.4833333
bf,abra,Abra,37,,13.1,-1.35
bf,absendo,Absendo,16,,12.1166667,-1.7833333
bf,absouma,Absouma,24,,12.4258333,-1.4358333
bf,absouya,Absouya,32,,12.64,-1.0555556
bf,afini,Afini,42,,12.35,1.8833333
bf,aladiou,Aladiou,40,,14.05,-0.9333333
bf,alana,Alana,61,,10.6333333,-5.1
bf,alapera,AlapÈra,67,,9.7833333,-3.05
bf,alfire,AlfirÈ,30,,13.2166667,-0.6166667
bf,alkousiri,Alkousiri,21,,13.0333333,0.0
bf,alobiga,Alobiga,31,,11.0,-0.9166667
bf,alondigwena,AlondigwÈna,22,,12.0333333,0.9333333
bf,amene,AmÈnÈ,76,,13.9833333,-2.55
bf,amenekui,AmÈnÈkui,46,,12.4833333,-3.9833333
bf,anbarkoura,Anbarkoura,69,,10.0666667,-3.1833333
bf,andekanda,AndÈkanda,62,,13.9666667,-2.25
bf,andemtenga,Andemtenga,28,,12.3241667,-0.3091667
bf,anekui,AnÈkui,74,,11.8166667,-3.6833333
bf,aourema,AourËma,58,,13.3333333,-3.9166667
bf,arbolle,ArbollÈ,34,,12.85,-2.05
bf,ariblana,Ariblana,54,,10.9166667,-5.0666667
bf,assio,Assio,45,,11.6666667,-3.1333333
bf,attoum,Attoum,48,,10.6333333,-2.9833333
bf,ba,B‚,51,,11.2833333,-3.9833333
bf,babanloua,Babanloua,50,,12.0333333,0.5166667
bf,babeden,BabÈden,64,,12.9166667,-0.4666667
bf,babereke,BabÈrÈkÈ,70,,13.15,-1.0333333
bf,badema,BadÈma,18,,11.1833333,-0.3166667
bf,badiere,BadiÈrÈ,52,,11.2,-3.1666667
bf,badinogo,Badinogo,20,,12.5833333,-0.7
bf,badongo,Badongo,65,,11.1166667,-1.1666667
bf,bagadowoegen,BagadowoÈgen,19,,12.3,-1.8
bf,bagammssi,Bagammssi,44,,11.7833333,-1.1
bf,bagare,BagarÈ,78,,13.3,-2.35
bf,bagata,Bagata,39,,11.7669444,-1.8497222
bf,bakou,Bakou,43,,13.3833333,-2.0
bf,bamako,Bamako,55,,10.55,-4.45
bf,bambori,Bambori,75,,13.45,0.5
bf,bandikirini,Bandikirini,56,,12.7666667,0.4
bf,bangasoko,Bangasoko,73,,13.3166667,-2.9
bf,baniotenga,Baniotenga,66,,12.8666667,-2.7166667
bf,banlioura,Banlioura,72,,11.1833333,-2.1666667
bf,bayalo,Bayalo,36,,12.3666667,-2.5166667
bf,beiga,BËiga,33,,14.5666667,-0.15
bf,bitte,BittÈ,59,,11.5,-0.0166667
bf,bou,Bou,77,,11.5166667,-1.6666667
bf,boukou,Boukou,60,,12.6333333,-1.8666667
bf,dabozougi,Dabozougi,68,,12.6,-1.2833333
bf,dori,Dori,71,27554,14.0333333,-0.0333333
bf,kombisiri,Kombisiri,47,,12.0655556,-1.3375
bf,ouagadouga,Ouagadouga,53,,12.3702778,-1.5247222
bf,pama,Pama,57,,11.2497222,0.7075
bf,tenkodogo,Tenkodogo,49,37123,11.78,-0.3697222
bg,abdallar,Abdallar,46,,42.9166667,26.1833333
bg,abdikioy,Abdikioy,61,,42.9333333,27.8666667
bg,abdioglu k'oy,Abdioglu K'oy,39,,42.75,26.7
bg,abdul,Abdul,52,,43.6,26.8166667
bg,abdulare,Abdulare,51,,42.3166667,24.2833333
bg,abdul kadir,Abdul Kadir,43,,41.6166667,25.6666667
bg,ablanitsa,Ablanitsa,58,,41.5333333,23.9333333
bg,acadanlar,Acadanlar,55,,43.8166667,27.15
bg,adlijo,Adlijo,63,,43.8877778,22.5213889
bg,akatsievo,Akatsievo,47,,44.0144444,22.8072222
bg,aleksandrovo,Aleksandrovo,33,,43.7166667,23.1166667
bg,aleksandur voykov,Aleksandur Voykov,42,,42.8,23.3333333
bg,antonovo,Antonovo,60,1950,43.15,26.1666667
bg,ardino,Ardino,44,3497,41.5833333,25.1333333
bg,armuchi,Armuchi,40,,43.8166667,27.75
bg,bahnhof chitrino,Bahnhof Chitrino,54,,43.4333333,26.9166667
bg,bahnhof pirin,Bahnhof Pirin,38,,41.7333333,23.15
bg,banite,Banite,57,,41.6166667,25.0166667
bg,banya,Banya,59,,42.6,25.2
bg,batak,Batak,48,4103,41.95,24.2166667
bg,bela,Bela,53,,43.45,25.7333333
bg,bela slatina,Bela Slatina,64,,43.4666667,23.9333333
bg,beleke,Beleke,50,,43.65,25.1166667
bg,belovo,Belovo,49,,42.4788889,22.7491667
bg,bobochevo,Bobochevo,45,,42.1597222,23.0163889
bg,boljarovo,Boljarovo,65,1474,42.15,26.8166667
bg,drenova,Drenova,41,,42.9827778,25.4922222
bg,dzhumalii,Dzhumalii,56,,42.6833333,25.9666667
bg,elena,Elena,62,6171,42.9333333,25.8833333
bh,abu baham,Abu Baham,05,,26.2075,50.5441667
bh,abu mahir,Abu Mahir,03,,26.2444444,50.6191667
bh,abu saibi',Abu Saibi',10,,26.2175,50.5069444
bh,ad dur,Ad Dur,07,,25.9786111,50.615
bh,al `adliyah,Al `Adliyah,02,,26.2172222,50.5405556
bh,al `akr,Al `Akr,06,,26.1430556,50.6102778
bh,al-djasra,Al-Djasra,08,,26.1622222,50.4491667
bh,al ghurayfah,Al Ghurayfah,09,,26.2077778,50.6025
bh,al hadd,Al Hadd,01,,26.2455556,50.6541667
bh,al hujayr,Al Hujayr,11,,26.1833333,50.55
bh,hamad town,Hamad Town,13,,26.1152778,50.5069444
bh,isa,Isa,12,,26.1736111,50.5477778
bi,bahanza,Bahanza,14,,-3.0169444,30.1366667
bi,bake,Bake,21,,-3.5338889,30.1730556
bi,bamba,Bamba,09,,-2.9891667,29.4144444
bi,banda,Banda,10,,-3.775,29.6261111
bi,banda,Banda,17,,-4.4416667,29.6677778
bi,banga,Banga,15,,-3.1416667,29.6277778
bi,bariza,Bariza,05,,-3.5777778,29.6163889
bi,batsimba,Batsimba,20,,-3.6830556,30.2111111
bi,bavumu,Bavumu,18,,-2.8286111,30.3580556
bi,bigeri,Bigeri,12,,-2.8283333,29.3213889
bi,bihahe,Bihahe,13,,-3.6791667,29.9080556
bi,bihanga,Bihanga,11,,-3.1636111,30.5955556
bi,bikanka,Bikanka,02,,-3.5491667,29.5613889
bi,birambi,Birambi,19,,-2.7875,29.9013889
bi,birayi,Birayi,16,,-2.6,30.1402778
bj,aba,Aba,17,,7.1166667,2.6333333
bj,abala,Abala,11,,8.05,1.6666667
bj,abata,Abata,04,,6.6166667,2.0333333
bj,abeokouta,AbÈokouta,01,,9.1333333,2.15
bj,aboga,Aboga,16,,6.55,2.5833333
bj,aboloume,AboloumÈ,18,,7.1,1.65
bj,abome calavi,Abome Calavi,05,,6.45,2.35
bj,abotagon,Abotagon,02,,6.8166667,2.2
bj,abouta,Abouta,09,,6.3333333,2.1166667
bj,adakparo,Adakparo,10,,9.2666667,2.65
bj,adame,AdamÈ,15,,6.6833333,1.6166667
bj,adamou,Adamou,03,,11.2,2.3333333
bj,adidevo,AdidÈvo,12,,6.7833333,1.65
bj,afatalanga,Afatalanga,13,,9.6833333,1.75
bj,agbanta,Agbanta,14,,6.6166667,2.45
bj,alafiarou,Alafiarou,07,,11.1666667,2.9833333
bj,berecingo,BÈrÈcingo,08,,10.2333333,1.3833333
bm,bethaven,Bethaven,01,,32.2833333,-64.75
bm,camden,Camden,04,,32.2941667,-64.7605556
bm,cashew city,Cashew City,07,,32.3702778,-64.6544444
bm,flatt's village,Flatt's Village,09,,32.3211111,-64.7369444
bm,hamilton,Hamilton,03,902,32.2941667,-64.7838889
bm,hill view,Hill View,11,,32.2694444,-64.8088889
bm,hog bay,Hog Bay,08,,32.2711111,-64.88
bm,saint george,Saint George,06,1802,32.3816667,-64.6780556
bm,sunnyside,Sunnyside,02,,32.3263889,-64.7411111
bn,abang,Abang,00,,4.7,114.6833333
bo,25 de julio,25 de Julio,08,,-19.75,-58.25
bo,6 de agosto,6 de Agosto,06,,-10.9333333,-67.15
bo,abanay,Abanay,09,,-21.5333333,-63.55
bo,abara,Abara,04,,-17.4833333,-69.4333333
bo,abel kumo,Abel Kumo,05,,-18.8833333,-66.6166667
bo,abra,Abra,02,,-17.7666667,-66.5
bo,abra,Abra,07,,-20.55,-65.6333333
bo,abra de pulgui,Abra de Pulgui,01,,-19.2333333,-65.2166667
bo,agua dulce,Agua Dulce,03,,-12.5833333,-65.5666667
br,10 de novembro,10 de Novembro,26,,-27.033333,-50.933333
br,14 de julho,14 de Julho,21,,-22.764965,-43.289678
br,14 de maio,14 de Maio,11,,-22.533333,-54.35
br,15 de novembro,15 de Novembro,23,,-28.75,-53.1
br,25 de julio,25 de Julio,08,,-19.766667,-40.6
br,2 de julho,2 de Julho,05,,-12.066667,-38.966667
br,2 de novembro,2 de Novembro,24,,-8.85,-62.283333
br,3 ilhas,3 Ilhas,15,,-22.032222,-43.489444
br,aba,Aba,17,,-6.716667,-37.983333
br,abacate,Abacate,03,,.316667,-50.883333
br,abacate,Abacate,04,,-3.946389,-62.903889
br,abacate,Abacate,16,,-1.116667,-49.65
br,aba da serra,Aba da Serra,06,,-5.916667,-39.516667
br,abadiania,Abadi‚nia,29,7062,-16.1,-48.8
br,abaitinga,Abaitinga,27,,-24.033333,-48.05
br,abapa,Abap„,18,,-24.95,-49.816667
br,abelhas,Abelhas,22,,-5.948056,-36.061944
br,abismo,Abismo,01,,-10.716667,-70.45
br,abobora,AbÛbora,20,,-10.704167,-45.055833
br,aboboras,AbÛboras,30,,-7.866667,-38.233333
br,abolicao,AboliÁ„o,14,,-15.733333,-55.666667
br,abreu,Abreu,13,,-3.350278,-42.419722
br,abreulandia,Abreul‚ndia,31,,-9.565556,-49.056389
br,acaituba,AÁaituba,25,,.65,-61.55
br,acuarana,AÁuarana,02,,-9.633333,-36.95
br,aldeia,Aldeia,28,,-10.783333,-36.966667
br,altamira,Altamira,07,,-15.616667,-47.666667
bs,abercorn,Abercorn,24,,22.3666667,-73.95
bs,abraham bay,Abraham Bay,16,,22.3666667,-72.9666667
bs,adderleys,Adderleys,15,,23.6,-75.3
bs,adelaide,Adelaide,23,,25.0,-77.5166667
bs,alexander,Alexander,10,,23.65,-76.0166667
bs,alice town,Alice Town,05,950,25.7166667,-79.3
bs,alice town,Alice Town,27,,25.3333333,-76.4333333
bs,allen,Allen,35,,23.95,-74.5166667
bs,andros town,Andros Town,26,2456,24.7,-77.7666667
bs,arthur's town,Arthur's Town,06,,24.6333333,-75.7
bs,august town,August Town,32,,25.0333333,-77.9833333
bs,bahring point,Bahring Point,30,,24.45,-77.7166667
bs,bain town,Bain Town,25,,26.5166667,-78.7833333
bs,bannerman town,Bannerman Town,33,,24.6333333,-76.1666667
bs,bar bay settlement,Bar Bay Settlement,22,,25.3833333,-76.8
bs,bevans town,Bevans Town,29,,26.6,-78.3166667
bs,blackwood village,Blackwood Village,28,,26.8,-77.4333333
bs,charokee sound settlement,Charokee Sound Settlement,31,,26.2833333,-77.0333333
bs,duncan town,Duncan Town,18,70,22.1908333,-75.7258333
bs,hard bargain,Hard Bargain,34,,26.3166667,-77.5666667
bs,mathew town,Mathew Town,13,,20.95,-73.6666667
bt,alla,Alla,22,,27.35,89.9666667
bt,atsho chhubar,Atsho Chhubar,13,,27.4833333,89.4
bt,bachap,Bachap,08,,26.9833333,89.8166667
bt,balfai,Balfai,12,,27.2166667,91.5
bt,bali,Bali,18,,27.2166667,90.7166667
bt,barshong,Barshong,20,,27.7,89.55
bt,benkar,Benkar,19,,27.3166667,91.5666667
bt,beteni,Beteni,07,,27.0333333,90.2333333
bt,bhangbarai,Bhangbarai,09,,27.2666667,90.3
bt,bhangtar,Bhangtar,17,,26.8166667,91.7166667
bt,bumtang,Bumtang,05,,27.55,90.7166667
bt,chamarchi,Chamarchi,16,,26.9,89.1
bt,changra,Changra,21,,27.4,90.4666667
bt,chapcha,Chapcha,06,,27.2,89.55
bt,chungkar,Chungkar,14,,27.05,91.4166667
bt,damthang,Damthang,10,,27.4166667,89.35
bt,dawakha,Dawakha,15,,27.6666667,89.9166667
bt,dogsar,Dogsar,11,,27.95,91.0333333
bw,aphiri,Aphiri,01,,-22.55,27.5333333
bw,babusi,Babusi,09,,-24.6780556,25.9169444
bw,bahonong,Bahonong,08,,-21.9666667,28.3333333
bw,bakops,Bakops,11,,-21.0166667,24.3333333
bw,barachu,Barachu,03,,-23.0166667,21.8166667
bw,boatenwana,Boatenwana,06,,-23.6166667,25.9166667
bw,bogo gobo,Bogo Gobo,04,,-26.65,21.9166667
bw,boleki village,Boleki Village,00,,-19.9166667,25.1
bw,dutlwe,Dutlwe,10,1126,-23.9833333,23.9
bw,lephepe,Lephepe,05,822,-23.3166667,25.8
by,abakumy,Abakumy,02,,51.9833333,30.85
by,abraimavka,Abraimavka,04,,54.1205556,30.975
by,abramovichi,Abramovichi,01,,52.2166667,24.0
by,abramovshchina,Abramovshchina,03,,54.6166667,26.6166667
by,abramy,Abramy,06,,54.85,26.6333333
by,achremowce,Achremowce,07,,55.5833333,27.1166667
bz,aguacale,Aguacale,06,,16.1622222,-89.0938889
bz,aguacate camp,Aguacate Camp,02,,16.705,-89.0488889
bz,alabama,Alabama,05,,16.6666667,-88.5166667
bz,america,America,03,,18.3333333,-88.4333333
bz,andersons camp,Andersons Camp,04,,17.7166667,-89.0166667
bz,bacalar chico,Bacalar Chico,01,,18.15,-87.8333333
ca,9zenic view,9zenic View,02,,48.533333,-123.55
ca,abbey,Abbey,11,,50.733333,-108.75
ca,abbotsford,Abbotsford,10,,45.433333,-72.883333
ca,abee,Abee,01,,54.233333,-113.016667
ca,abrahams cove,Abrahams Cove,05,,48.516667,-58.9
ca,actinolite,Actinolite,08,,44.55,-77.333333
